country,indicator,year,value
IND,Inflation_Pct,2010,11.9893899204244
IND,FDI_Pct_GDP,2024,0.694133152879562
IND,FDI_Pct_GDP,2023,0.771919134264091
IND,FDI_Pct_GDP,2022,1.49248825904
IND,FDI_Pct_GDP,2021,1.41217101040888
IND,FDI_Pct_GDP,2020,2.40620322673636
IND,FDI_Pct_GDP,2019,1.78482633957161
IND,FDI_Pct_GDP,2018,1.55821483801455
IND,FDI_Pct_GDP,2017,1.50731583255894
IND,FDI_Pct_GDP,2016,1.9373641224439
IND,FDI_Pct_GDP,2015,2.09211521443253
IND,FDI_Pct_GDP,2014,1.69565958990806
IND,FDI_Pct_GDP,2013,1.5162764665975
IND,FDI_Pct_GDP,2012,1.31293453035323
IND,FDI_Pct_GDP,2011,2.0020634629993
IND,FDI_Pct_GDP,2010,1.6350340943491
