Date,FXI,MCHI,KWEB,GLD,SPY,TLT
2015-01-02,31.88875961303711,40.83999252319336,26.14029884338379,114.08000183105469,170.58961486816406,94.76044464111328
2015-01-05,31.773996353149414,40.78311538696289,26.21893882751465,115.80000305175781,167.5088348388672,96.24900817871094
2015-01-06,31.383798599243164,40.3930778503418,26.352630615234375,117.12000274658203,165.93106079101562,97.98311614990234
2015-01-07,32.2100944519043,41.42503356933594,26.61214256286621,116.43000030517578,167.99874877929688,97.78958129882812
2015-01-08,32.4702262878418,41.83945846557617,27.052539825439453,115.94000244140625,170.9799346923828,96.4946060180664
2015-01-09,32.34781265258789,41.70132064819336,26.81661605834961,117.26000213623047,169.60975646972656,97.55143737792969
2015-01-12,32.05707931518555,41.31941604614258,26.179622650146484,118.55999755859375,168.28109741210938,98.10969543457031
2015-01-13,32.516136169433594,41.79069900512695,26.006608963012695,118.16000366210938,167.80780029296875,98.10969543457031
2015-01-14,32.17184066772461,41.36003494262695,25.865055084228516,117.97000122070312,166.79466247558594,98.85392761230469
2015-01-15,32.49317932128906,41.60380935668945,25.408939361572266,120.94000244140625,165.26678466796875,100.4094467163086
2015-01-16,32.301918029785156,41.400665283203125,25.699909210205078,122.5199966430664,167.43406677246094,99.12931060791016
2015-01-20,31.949975967407227,41.08375549316406,26.085247039794922,124.19999694824219,167.79115295410156,100.4466552734375
2015-01-21,32.967525482177734,42.40013122558594,26.61214256286621,124.2300033569336,168.63816833496094,99.28560638427734
2015-01-22,33.55664825439453,43.115203857421875,26.793018341064453,125.2300033569336,171.14598083496094,98.92835998535156
2015-01-23,33.47248840332031,42.944557189941406,26.863794326782227,124.2300033569336,170.2076416015625,100.30525207519531
2015-01-26,33.45718002319336,42.87141799926758,27.070621490478516,122.98999786376953,170.60621643066406,100.00010681152344
2015-01-27,32.814517974853516,42.172611236572266,26.973892211914062,124.4000015258789,168.35589599609375,100.15641021728516
2015-01-28,32.21773910522461,41.56318283081055,26.62787437438965,123.41999816894531,166.19679260253906,101.79379272460938
2015-01-29,32.43196487426758,41.855709075927734,26.281848907470703,120.76000213623047,167.73306274414062,101.12400817871094
2015-01-30,31.552122116088867,40.95375442504883,25.857194900512695,123.44999694824219,165.62380981445312,102.91765594482422
2015-02-02,32.08768081665039,41.522544860839844,26.022336959838867,122.41999816894531,167.67486572265625,102.5290756225586
2015-02-03,32.73801040649414,42.115726470947266,26.46272850036621,121.05000305175781,170.09963989257812,100.35889434814453
2015-02-04,33.013431549072266,42.44888687133789,26.698650360107422,121.58000183105469,169.45196533203125,100.5303955078125
2015-02-05,32.90632629394531,42.39201354980469,26.596418380737305,121.79000091552734,171.16261291503906,99.42670440673828
2015-02-06,32.16419982910156,41.465667724609375,26.281848907470703,118.63999938964844,170.6892852783203,97.66666412353516
2015-02-09,32.08768081665039,41.26253128051758,25.959423065185547,119.16999816894531,169.92527770996094,97.51004028320312
2015-02-10,32.233055114746094,41.522544860839844,26.12457275390625,118.47000122070312,171.73561096191406,96.73442840576172
2015-02-11,32.21773910522461,41.48192596435547,26.061655044555664,117.06999969482422,171.83518981933594,96.91339111328125
2015-02-12,32.67679977416992,42.09947967529297,25.912240982055664,117.33999633789062,173.48779296875,96.59269714355469
2015-02-13,32.88337326049805,42.35137176513672,26.21893882751465,117.9800033569336,174.20184326171875,95.6008529663086
2015-02-17,33.00578308105469,42.554534912109375,26.517778396606445,116.01000213623047,174.47586059570312,94.16151428222656
2015-02-18,32.97518539428711,42.408260345458984,26.541372299194336,116.33999633789062,174.49252319335938,94.7208251953125
2015-02-19,32.944580078125,42.35951614379883,26.36835289001465,115.94000244140625,174.3679656982422,94.09441375732422
2015-02-20,33.151161193847656,42.65202713012695,26.40768051147461,115.27999877929688,175.41429138183594,94.37035369873047
2015-02-23,32.8757209777832,42.32699966430664,26.250396728515625,115.43000030517578,175.38934326171875,95.45169830322266
2015-02-24,33.28122329711914,42.8307991027832,26.179622650146484,115.26000213623047,175.88763427734375,96.70455169677734
2015-02-25,33.082298278808594,42.69265365600586,25.806074142456055,115.69999694824219,175.73814392089844,97.1222152709961
2015-02-26,33.487789154052734,43.13145065307617,25.912240982055664,116.06999969482422,175.5305633544922,95.7947998046875
2015-02-27,33.48014450073242,43.115203857421875,25.503305435180664,116.16000366210938,174.93263244628906,96.60021209716797
2015-03-02,33.54899597167969,43.31021499633789,25.41680145263672,115.68000030517578,176.03707885742188,94.80088806152344
2015-03-03,32.66914749145508,42.253868103027344,25.17301368713379,115.47000122070312,175.3146209716797,94.45716857910156
2015-03-04,32.14889144897461,41.831329345703125,25.41680145263672,115.11000061035156,174.57559204101562,94.48700714111328
2015-03-05,31.90406608581543,41.60380935668945,25.998743057250977,115.0,174.76649475097656,94.367431640625
2015-03-06,31.567420959472656,41.156898498535156,25.99087905883789,111.86000061035156,172.3085479736328,92.28271484375
2015-03-09,31.93465805053711,41.522544860839844,25.644859313964844,111.97000122070312,173.022705078125,93.13459014892578
2015-03-10,31.192535400390625,40.628719329833984,25.33029556274414,111.41999816894531,170.21588134765625,94.3599853515625
2015-03-11,31.2690372467041,40.856239318847656,25.21233367919922,110.75,169.81735229492188,95.04744720458984
2015-03-12,31.582727432250977,41.246280670166016,24.96854591369629,110.72000122070312,171.9763946533203,94.9802017211914
2015-03-13,31.743389129638672,41.392539978027344,24.858449935913086,110.87999725341797,170.92178344726562,94.68873596191406
2015-03-16,32.31721115112305,42.115726470947266,24.960681915283203,110.80999755859375,173.20541381835938,95.60043334960938
