Date,SPY,TLT
2020-01-02,297.69903564453125,115.44374084472656
2020-01-03,295.44476318359375,117.22154998779297
2020-01-06,296.5718688964844,116.55590057373047
2020-01-07,295.73797607421875,115.98298645019531
2020-01-08,297.31414794921875,115.21622467041016
2020-01-09,299.330078125,115.62066650390625
2020-01-10,298.4687805175781,116.64865112304688
2020-01-13,300.5213928222656,116.29473876953125
2020-01-14,300.063232421875,116.89298248291016
2020-01-15,300.7413330078125,117.66817474365234
2020-01-16,303.2430114746094,117.29744720458984
2020-01-17,304.1868591308594,116.29473876953125
2020-01-21,303.5912170410156,117.51644897460938
2020-01-22,303.6277770996094,117.92935943603516
2020-01-23,303.97607421875,118.75505065917969
2020-01-24,301.2728271484375,119.7156753540039
2020-01-27,296.44354248046875,121.57779693603516
2020-01-28,299.5500793457031,120.62567901611328
2020-01-29,299.3026428222656,121.80532836914062
2020-01-30,300.2740173339844,121.82221984863281
2020-01-31,294.8216552734375,122.934326171875
2020-02-03,297.0117492675781,122.8348159790039
2020-02-04,301.5386047363281,121.18057250976562
2020-02-05,305.0207214355469,119.85547637939453
2020-02-06,306.047119140625,120.39566040039062
2020-02-07,304.4159240722656,121.89791870117188
2020-02-10,306.6884765625,122.2355728149414
2020-02-11,307.219970703125,121.61941528320312
2020-02-12,309.1993408203125,121.00331115722656
2020-02-13,308.8694152832031,121.4675064086914
2020-02-14,309.36431884765625,121.99920654296875
2020-02-18,308.5670471191406,122.8348159790039
2020-02-19,310.0424499511719,122.82637786865234
2020-02-20,308.7686462402344,123.78849792480469
2020-02-21,305.58892822265625,124.94477844238281
2020-02-24,295.4539489746094,126.80998992919922
2020-02-25,286.5009765625,127.4851303100586
2020-02-26,285.4471740722656,126.80998992919922
2020-02-27,272.6273193359375,128.18569946289062
2020-02-28,271.48187255859375,131.08062744140625
2020-03-02,283.23876953125,130.11618041992188
2020-03-03,275.12896728515625,132.1362762451172
2020-03-04,286.6934509277344,130.73318481445312
2020-03-05,277.1632995605469,133.98741149902344
2020-03-06,272.5814514160156,140.96058654785156
2020-03-09,251.29434204101562,144.7811279296875
2020-03-10,264.2975769042969,137.35983276367188
2020-03-11,251.41346740722656,132.30531311035156
2020-03-12,227.35891723632812,133.12522888183594
2020-03-13,246.79495239257812,130.11618041992188
2020-03-16,219.7897491455078,138.54324340820312
2020-03-17,231.6566619873047,129.30474853515625
2020-03-18,219.92723083496094,122.01032257080078
2020-03-19,220.39456176757812,125.33208465576172
2020-03-20,210.89686584472656,134.7565460205078
2020-03-23,205.50462341308594,140.30982971191406
2020-03-24,224.12399291992188,137.69796752929688
2020-03-25,227.4791717529297,137.3851776123047
2020-03-26,240.7616424560547,138.06137084960938
2020-03-27,233.59036254882812,141.74667358398438
2020-03-30,241.17637634277344,140.58023071289062
2020-03-31,237.5815887451172,139.4391326904297
2020-04-01,226.8892059326172,141.39280700683594
2020-04-02,232.12478637695312,142.2899932861328
2020-04-03,228.7695770263672,142.6286163330078
2020-04-06,244.13519287109375,142.2562255859375
2020-04-07,244.38409423828125,140.76646423339844
2020-04-08,252.58767700195312,139.7421875
2020-04-09,256.4313659667969,139.9961395263672
2020-04-13,254.09005737304688,138.71792602539062
2020-04-14,261.5839538574219,138.68406677246094
2020-04-15,256.02581787109375,142.35772705078125
2020-04-16,257.260986328125,143.9745635986328
2020-04-17,264.2109680175781,142.0446014404297
2020-04-20,259.5561218261719,143.18728637695312
2020-04-21,251.67510986328125,144.99034118652344
2020-04-22,257.260986328125,143.50892639160156
2020-04-23,257.2425231933594,144.27084350585938
2020-04-24,260.8281555175781,144.60939025878906
2020-04-27,264.5888366699219,141.9176025390625
2020-04-28,263.3722229003906,143.55133056640625
2020-04-29,270.26690673828125,142.80636596679688
2020-04-30,267.75048828125,141.13890075683594
2020-05-01,260.6622009277344,142.34750366210938
2020-05-04,261.3811340332031,141.6779022216797
2020-05-05,263.79620361328125,140.77101135253906
2020-05-06,262.0080261230469,138.4995880126953
2020-05-07,265.1695556640625,140.81332397460938
2020-05-08,269.5571594238281,138.982666015625
2020-05-11,269.6124267578125,137.8978271484375
2020-05-12,264.2386474609375,139.313232421875
2020-05-13,259.5653076171875,140.2879180908203
2020-05-14,262.6716003417969,141.6609649658203
2020-05-15,263.8790588378906,141.2965087890625
2020-05-18,271.9167785644531,138.19447326660156
2020-05-19,269.1239013671875,138.7114715576172
2020-05-20,273.6958312988281,139.12680053710938
2020-05-21,271.80621337890625,139.47425842285156
2020-05-22,272.3223876953125,140.31338500976562
2020-05-26,275.6775817871094,138.43174743652344
2020-05-27,279.779296875,138.1775360107422
2020-05-28,279.26312255859375,137.6689453125
2020-05-29,280.5075988769531,138.6521453857422
2020-06-01,281.64129638671875,137.71861267089844
2020-06-02,283.9732360839844,137.21791076660156
2020-06-03,287.75244140625,135.39329528808594
2020-06-04,286.99664306640625,133.4329376220703
2020-06-05,294.35223388671875,132.48248291015625
2020-06-08,297.9101867675781,132.9916229248047
2020-06-09,295.6888427734375,134.50222778320312
2020-06-10,294.0388488769531,136.49655151367188
2020-06-11,277.0877990722656,139.07644653320312
2020-06-12,280.4061584472656,137.73561096191406
2020-06-15,283.02392578125,137.81199645996094
2020-06-16,288.4714660644531,135.6988067626953
2020-06-17,287.2732238769531,136.2589569091797
2020-06-18,287.3837890625,137.70164489746094
2020-06-19,285.7414855957031,137.81199645996094
2020-06-22,287.574462890625,137.8289794921875
2020-06-23,288.8984680175781,136.886962890625
2020-06-24,281.529052734375,138.35508728027344
2020-06-25,284.54705810546875,138.75392150878906
