Date,VOL_FXI,VOL_SPY,VOL_RATIO
2015-09-17,0.43390081784136303,0.26943785129788494,1.6103929561168122
2015-09-18,0.437318716049555,0.2722076028543265,1.606563194649595
2015-09-21,0.43849016569991683,0.27295743459938854,1.6064415550485949
2015-09-22,0.43370118640670025,0.2714770816099061,1.5975609573919727
2015-09-23,0.43390214181571596,0.27076199552816144,1.6025223221203015
2015-09-24,0.43087266755187126,0.2705991951610997,1.59229101659136
2015-09-25,0.429559419227238,0.2706489957362544,1.5871458087575567
2015-09-28,0.4308975930296803,0.27787801111874455,1.550671790455368
2015-09-29,0.4310167234356462,0.2768693332844193,1.5567514044355213
2015-09-30,0.4366894882399812,0.2841844484236792,1.5366410465534637
2015-10-01,0.4336535835302801,0.2841498791166214,1.5261438254995672
2015-10-02,0.44206000484279595,0.2828288403339405,1.5629947933204007
2015-10-05,0.438446309262288,0.2741901377417427,1.599059371257389
2015-10-06,0.3962446253144761,0.24322080684261888,1.6291559528082418
2015-10-07,0.4081239658260016,0.2404701549831429,1.6971917610923954
2015-10-08,0.40430336798323624,0.21607732619455336,1.8711050118197339
2015-10-09,0.3826944223347751,0.20443756428488102,1.8719378880952402
2015-10-12,0.37130721531891814,0.20443322521949833,1.8162762678143365
2015-10-13,0.3714987724180964,0.2038399023186859,1.8225027003657532
2015-10-14,0.34285968898712826,0.18310813642345303,1.8724437683874204
2015-10-15,0.3525925307123688,0.18038457557739218,1.9546711773096836
2015-10-16,0.3525927808766073,0.18059998090397944,1.952341185817025
2015-10-19,0.33286997523307593,0.1736147875448842,1.9172904563041318
2015-10-20,0.2698235301333433,0.15939397618349307,1.6928088287522522
2015-10-21,0.2747504458557264,0.1550058090380426,1.7725170918484432
2015-10-22,0.28029571903286876,0.16103260205846287,1.740614729252822
2015-10-23,0.2827729988671185,0.16304850823848066,1.7342875560291815
2015-10-26,0.28974633134653816,0.162707027956153,1.7807855935062638
2015-10-27,0.2899420740785771,0.16000209164475143,1.812114273620423
2015-10-28,0.2804117336398028,0.16123450139344306,1.7391546549677013
2015-10-29,0.2798037341900062,0.16095530754937595,1.7383939582369556
2015-10-30,0.27126886294410213,0.15280141484393056,1.7753033453333709
2015-11-02,0.26944025292003565,0.1551622751726204,1.7365062004941552
2015-11-03,0.2633127093133748,0.14821517024760522,1.7765570749167579
2015-11-04,0.26021727651673454,0.14864794728801076,1.7505608470499374
2015-11-05,0.2581168080972683,0.14785575198395928,1.745733964582393
2015-11-06,0.2600166232065394,0.14790676827852664,1.7579765025823302
2015-11-09,0.26142287506291406,0.12765237631552326,2.0479279948282763
2015-11-10,0.26282789992015887,0.12741776641156394,2.062725688278159
