Date,FXI_MCHI,FXI_KWEB,MCHI_KWEB,SYNC_INDEX
2015-01-05,,,,
2015-01-06,,,,
2015-01-07,,,,
2015-01-08,,,,
2015-01-09,,,,
2015-01-12,,,,
2015-01-13,,,,
2015-01-14,,,,
2015-01-15,,,,
2015-01-16,,,,
2015-01-20,,,,
2015-01-21,,,,
2015-01-22,,,,
2015-01-23,,,,
2015-01-26,,,,
2015-01-27,,,,
2015-01-28,,,,
2015-01-29,,,,
2015-01-30,,,,
2015-02-02,,,,
2015-02-03,,,,
2015-02-04,,,,
2015-02-05,,,,
2015-02-06,,,,
2015-02-09,,,,
2015-02-10,,,,
2015-02-11,,,,
2015-02-12,,,,
2015-02-13,,,,
2015-02-17,,,,
2015-02-18,,,,
2015-02-19,,,,
2015-02-20,,,,
2015-02-23,,,,
2015-02-24,,,,
2015-02-25,,,,
2015-02-26,,,,
2015-02-27,,,,
2015-03-02,,,,
2015-03-03,,,,
2015-03-04,,,,
2015-03-05,,,,
2015-03-06,,,,
2015-03-09,,,,
2015-03-10,,,,
2015-03-11,,,,
2015-03-12,,,,
2015-03-13,,,,
2015-03-16,,,,
2015-03-17,,,,
2015-03-18,,,,
2015-03-19,,,,
2015-03-20,,,,
2015-03-23,,,,
2015-03-24,,,,
2015-03-25,,,,
2015-03-26,,,,
2015-03-27,,,,
2015-03-30,,,,
2015-03-31,,,,
2015-04-01,,,,
2015-04-02,,,,
2015-04-06,,,,
2015-04-07,,,,
2015-04-08,,,,
2015-04-09,,,,
2015-04-10,,,,
2015-04-13,,,,
2015-04-14,,,,
2015-04-15,,,,
2015-04-16,,,,
2015-04-17,,,,
2015-04-20,,,,
2015-04-21,,,,
2015-04-22,,,,
2015-04-23,,,,
2015-04-24,,,,
2015-04-27,,,,
2015-04-28,,,,
2015-04-29,,,,
2015-04-30,,,,
2015-05-01,,,,
2015-05-04,,,,
2015-05-05,,,,
2015-05-06,,,,
2015-05-07,,,,
2015-05-08,,,,
2015-05-11,,,,
2015-05-12,,,,
2015-05-13,0.9900998119553618,0.5852676569081067,0.6037476704785256,0.7263717131139981
2015-05-14,0.9901072698846641,0.5842053820097116,0.6001795187276195,0.7248307235406651
2015-05-15,0.990197017849946,0.5881472837489937,0.6034053021652349,0.7272498679213916
2015-05-18,0.9899167256704122,0.585991869404765,0.6022082501379169,0.7260389484043648
2015-05-19,0.9899441332329154,0.583827362936274,0.5994784789196775,0.7244166583629558
2015-05-20,0.9899315695441658,0.5831792292304783,0.5990300331927154,0.7240469439891198
2015-05-21,0.9899066678516355,0.5732786250980179,0.5876886302446913,0.7169579743981149
2015-05-22,0.9903035953787007,0.5926058382293701,0.6050181516877019,0.7293091950985908
2015-05-26,0.9902257913832585,0.5843817488026513,0.5974585584632087,0.7240220328830395
2015-05-27,0.9905502430998188,0.6014145431586465,0.6098955835805077,0.733953456612991
2015-05-28,0.9910778574947161,0.6136170142309385,0.6211253745268944,0.741940082084183
2015-05-29,0.9911957164652172,0.632893140610042,0.6373198781988115,0.7538029117580236
2015-06-01,0.9909621418803712,0.6246224473371158,0.6292507332056253,0.7482784408077041
2015-06-02,0.9907609547173013,0.624625201463237,0.6288849225188673,0.7480903595664685
2015-06-03,0.9908119543761404,0.6252473494997692,0.6298151615918889,0.7486248218225996
2015-06-04,0.9906427611264995,0.6272765508586002,0.6326849284921244,0.750201413492408
2015-06-05,0.9905728970035331,0.6081095534598738,0.6134237283517329,0.7373687262717133
2015-06-08,0.9895330470725618,0.595520118557929,0.606037182350051,0.7303634493268474
2015-06-09,0.9895975596812534,0.6081512762186735,0.6196303958530689,0.7391264105843319
2015-06-10,0.9896759057626682,0.5830608879593546,0.5975288603148609,0.7234218846789612
2015-06-11,0.9896236736638374,0.5846767257427056,0.5982894327290196,0.7241966107118541
2015-06-12,0.9901305834829512,0.5799650967437197,0.5952880097522542,0.7217945633263083
2015-06-15,0.9904183159199362,0.6000581142512059,0.6129800202209303,0.7344854834640241
2015-06-16,0.9905300624906814,0.6001505872450934,0.6132475207764633,0.7346427235040793
2015-06-17,0.9902204347387055,0.5902205299010478,0.604847438818144,0.7284294678192991
2015-06-18,0.9902009725116253,0.5906643382110283,0.60229238393153,0.7277192315513945
2015-06-19,0.9902977652478333,0.5907756085617438,0.603227558853639,0.7281003108877386
2015-06-22,0.9903581022992375,0.5832426741838308,0.595834007562998,0.7231449280153553
2015-06-23,0.9904515768668375,0.5961606983858608,0.6095999135516857,0.7320707296014614
2015-06-24,0.9904336903197105,0.5944966380410085,0.6082456827376378,0.7310586703661189
2015-06-25,0.990589780978792,0.597692111935988,0.6109490563957951,0.733076983103525
2015-06-26,0.9910693603039357,0.6168529438514395,0.628140674037833,0.7453543260644028
2015-06-29,0.9910647624165198,0.6318009251630156,0.6457457197909359,0.7562038024568237
2015-06-30,0.9912234018190271,0.6409739608696142,0.6542490465478753,0.7621488030788389
2015-07-01,0.991218669364687,0.641095372558777,0.6541598219354914,0.7621579546196519
2015-07-02,0.9911389003836764,0.643554277658036,0.6572175358472242,0.7639702379629788
2015-07-06,0.9902060993546669,0.673930615497842,0.7026578462309231,0.7889315203611439
2015-07-07,0.9908081254963408,0.698533643958651,0.7240878031469612,0.8044765242006511
2015-07-08,0.9920746107229328,0.6806560753223416,0.7069787282427816,0.7932364714293519
2015-07-09,0.9926546465946677,0.707194461589571,0.7333453439350394,0.8110648173730928
2015-07-10,0.9923017945671093,0.6938456785442453,0.7136546420854494,0.7999340383989346
