Date,SPY,TLT
2020-01-03,-0.007601135910682695,0.015282414815781313
2020-01-06,0.0038076871952296646,-0.005694742682712996
2020-01-07,-0.002815733624203738,-0.0049274793568140594
2020-01-08,0.0053154706720607015,-0.006632934318930221
2020-01-09,0.006757587718539498,0.0035041387473486374
2020-01-10,-0.002881565232003728,0.008851718701101312
2020-01-13,0.0068536027154594385,-0.0030386148839869134
2020-01-14,-0.0015257150117024571,0.005131016527615812
2020-01-15,0.00225730932449843,0.006609748111514914
2020-01-16,0.008283965622346094,-0.0031555922404584197
2020-01-17,0.0031076786359646833,-0.008585172398672325
2020-01-21,-0.0019600650431254507,0.010450494997403598
2020-01-22,0.00012041803366064062,0.003507481297116029
2020-01-23,0.001146461321909968,0.00697717752033537
2020-01-24,-0.008932738380464392,0.00805658545133158
2020-01-27,-0.016159469613147865,0.015434802545345796
2020-01-28,0.010424826325348557,-0.007862173081317947
2020-01-29,-0.0008263685823206291,0.00973191239957374
2020-01-30,0.0032402040510746276,0.00013866641636234986
2020-01-31,-0.018324833756075333,0.009087511608774173
2020-02-03,0.007401082718146522,-0.0008097859433292575
2020-02-04,0.015126352370017034,-0.013558725310582397
2020-02-05,0.011481663218851,-0.010995114514789083
2020-02-06,0.0033593607851387375,0.004496835590583712
2020-02-07,-0.005344136614688521,0.012400473481045919
2020-02-10,0.007437560468623328,0.002766145087025613
2020-02-11,0.0017315098881042273,-0.005053485662234208
2020-02-12,0.006422176863488216,-0.00507871178677763
2020-02-13,-0.0010676015093401268,0.0038288798893729757
2020-02-14,0.001601024476166979,0.004367750918491518
2020-02-18,-0.00258045541893139,0.006825952307863339
2020-02-19,0.004770071059611614,-6.86971370831203e-05
2020-02-20,-0.004116944631223311,0.00780265127411469
2020-02-21,-0.010351451801392164,0.009297419820316698
2020-02-24,-0.033727843329944794,0.014817956599187844
2020-02-25,-0.030771038924108037,0.005309908947757032
2020-02-26,-0.003684962287316576,-0.005309908947757147
2020-02-27,-0.04595125054912258,0.010790165782807792
2020-02-28,-0.00421036250272036,0.022332620911876853
2020-03-02,0.042394881107264554,-0.007384863639678314
2020-03-03,-0.029050290832583578,0.015406038943323614
2020-03-04,0.04117357000403007,-0.010675296779657017
2020-03-05,-0.033806668100878,0.02458736245173313
2020-03-06,-0.016669387863500897,0.05073447177274972
2020-03-09,-0.08131254418237527,0.02674281620686436
2020-03-10,0.05045072405665995,-0.05261914039573543
2020-03-11,-0.04997678923328211,-0.03749176920583806
2020-03-12,-0.10056896235424412,0.006178025883591608
2020-03-13,0.08202793759797489,-0.022862508877032058
