date,China_Stress_Index
2015-01-02,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,-0.4336289608587805
2015-01-09,-0.4325364257117522
2015-01-12,-0.4355423992231877
2015-01-13,-0.44606308624172863
2015-01-14,-0.4307481864843483
2015-01-15,-0.37179388342569325
2015-01-16,-0.33459518149316253
2015-01-19,-0.3157923259500469
2015-01-20,-0.3096523981496331
2015-01-21,-0.32527107338736627
2015-01-22,-0.38173001531103645
2015-01-23,-0.41275130288285367
2015-01-26,-0.4584986825314954
2015-01-27,-0.48357977401753505
2015-01-28,-0.4570713297108265
2015-01-29,-0.42734707308456193
2015-01-30,-0.3824613053971048
2015-02-02,-0.3467029986295279
2015-02-03,-0.3480334577285239
2015-02-04,-0.3764567754659512
2015-02-05,-0.39685828549753693
2015-02-06,-0.44095879068507127
2015-02-09,-0.45089632952729686
2015-02-10,-0.4512757000621164
2015-02-11,-0.46334489266880413
2015-02-12,-0.47908572010830897
2015-02-13,-0.5027248348268255
2015-02-16,-0.5428000716896839
2015-02-17,-0.5695678958754055
2015-02-18,-0.5978009445621025
2015-02-19,-0.6080990397946449
2015-02-20,-0.6257750578309995
2015-02-23,-0.639010739077465
2015-02-24,-0.6738757572303102
2015-02-25,-0.7040428962008795
2015-02-26,-0.7380656009541611
2015-02-27,-0.7609457187312497
2015-03-02,-0.7882744100730817
2015-03-03,-0.7910157337668682
2015-03-04,-0.7932892726392942
2015-03-05,-0.7984429101151889
2015-03-06,-0.798344023962127
2015-03-09,-0.7963849122848887
2015-03-10,-0.7832501182789093
2015-03-11,-0.7728861241262663
2015-03-12,-0.7669036293731124
2015-03-13,-0.7653609672721572
2015-03-16,-0.7682490931065886
2015-03-17,-0.7734108262709276
2015-03-18,-0.778054494546198
2015-03-19,-0.7486952453788793
2015-03-20,-0.7169359416621808
2015-03-23,-0.6762851298332792
2015-03-24,-0.6424018759472389
2015-03-25,-0.6026218670995489
2015-03-26,-0.5850420791331341
2015-03-27,-0.5749430778425378
2015-03-30,-0.5756518197694541
2015-03-31,-0.5749589601875383
2015-04-01,-0.5764406587922766
2015-04-02,-0.5818285833567798
2015-04-03,-0.584374349719371
2015-04-06,-0.5795366610877059
2015-04-07,-0.5792962423023139
2015-04-08,-0.5897403092357096
2015-04-09,-0.6014232589942667
2015-04-10,-0.6123992287344084
2015-04-13,-0.6127872701565626
2015-04-14,-0.6138784259816246
2015-04-15,-0.620015930520839
2015-04-16,-0.6250363588755155
2015-04-17,-0.6417894488963508
2015-04-20,-0.6769750981929644
2015-04-21,-0.7205186386991705
2015-04-22,-0.7593591887526834
2015-04-23,-0.796049600906151
2015-04-24,-0.8217517957193516
2015-04-27,-0.8094202851479138
2015-04-28,-0.7960336524540261
2015-04-29,-0.7701821596457694
2015-04-30,-0.7317997161269982
2015-05-01,-0.7111609269592232
2015-05-04,-0.7191087581338114
2015-05-05,-0.7129453617704057
2015-05-06,-0.7098747983699345
2015-05-07,-0.7107407013717092
2015-05-08,-0.7122719171974687
2015-05-11,-0.7155255941254395
2015-05-12,-0.7334299997387104
2015-05-13,-0.754048496323689
2015-05-14,-0.7828611056344981
2015-05-15,-0.7949567941126474
2015-05-18,-0.80606604354185
2015-05-19,-0.8108417635818445
2015-05-20,-0.8153526102991956
2015-05-21,-0.8185045021213035
2015-05-22,-0.819493996688595
2015-05-25,-0.8186355280436629
2015-05-26,-0.8153646549036141
2015-05-27,-0.8249735045665251
2015-05-28,-0.8359431556596839
2015-05-29,-0.8445925664434689
2015-06-01,-0.8579510218516866
2015-06-02,-0.8790511090919833
2015-06-03,-0.8982174201054394
2015-06-04,-0.9064752055775605
2015-06-05,-0.9292623305222267
2015-06-08,-0.9367250081862262
2015-06-09,-0.9438393987456115
2015-06-10,-0.9515472330481787
2015-06-11,-0.9622517862360922
2015-06-12,-0.9581665888265999
2015-06-15,-0.9558831388050066
2015-06-16,-0.945828316179196
2015-06-17,-0.9287266462580156
2015-06-18,-0.9339628526229212
2015-06-19,-0.9366260353466604
2015-06-22,-0.962520788910528
2015-06-23,-0.9989310537969915
2015-06-24,-1.0241996199209022
2015-06-25,-1.0304263860311529
2015-06-26,-1.0470281582428078
2015-06-29,-1.0123368215850372
2015-06-30,-0.9662554708275675
2015-07-01,-0.9430994115111384
2015-07-02,-0.918879199388002
2015-07-03,-0.8912344329087345
2015-07-06,-0.8954674913944111
2015-07-07,-0.9109921848279925
2015-07-08,-0.8822924043366889
2015-07-09,-0.8595948542966176
2015-07-10,-0.8563940920941441
2015-07-13,-0.8798208159782309
2015-07-14,-0.8977386061076272
2015-07-15,-0.9440685526414934
2015-07-16,-0.9940294379838136
2015-07-17,-1.0257135244922313
2015-07-20,-1.0339190835937013
2015-07-21,-1.0392822027548827
2015-07-22,-1.0423034946552459
2015-07-23,-1.029452007392016
2015-07-24,-1.0134438577559484
2015-07-27,-0.9870909777818847
2015-07-28,-0.9766531614664231
2015-07-29,-0.9857064381558593
2015-07-30,-1.0084773330555747
2015-07-31,-1.0318630872508199
2015-08-03,-1.0626563855196745
2015-08-04,-1.0811921027507854
2015-08-05,-1.0860339097033718
2015-08-06,-1.0645974496213875
2015-08-07,-1.0468511416217985
2015-08-10,-1.0643171949997465
2015-08-11,-0.8788879397468919
2015-08-12,-0.6689002729342854
2015-08-13,-0.4801979141052134
2015-08-14,-0.2888289422403261
2015-08-17,-0.06319497019697426
2015-08-18,-0.02584740694316633
2015-08-19,0.008845981799449098
2015-08-20,0.08351920333796704
2015-08-21,0.21716102945738908
2015-08-24,0.4268931276124414
