Date,STRESS_INDEX,EXPOSURE_RATIO,DEFENSIVE_RATIO,DELTA_STRESS_INDEX,DELTA_EXPOSURE_RATIO,DELTA_DEFENSIVE_RATIO
2015-01-31,,101.91100027221827,109.36802152119331,,,
2015-02-28,-0.4345510039106414,102.38388116736029,96.98338621523423,,0.47288089514201204,-12.38463530595908
2015-03-31,-0.4302514611253449,105.53883039022232,93.52822410713183,0.004299542785296484,3.1549492228620295,-3.4551621081023995
2015-04-30,0.8596869960651222,120.82329615801883,80.76585048524365,1.289938457190467,15.284465767796519,-12.762373621888187
2015-05-31,0.5992681710205793,113.3170349384623,85.49485291743547,-0.26041882504454295,-7.506261219556535,4.72900243219182
2015-06-30,0.3150502819409781,109.92089379152164,88.59964844313275,-0.28421788907960116,-3.396141146940664,3.104795525697284
2015-07-31,1.5964748852907005,94.38840795288284,94.2196915052136,1.2814246033497223,-15.532485838638792,5.620043062080853
2015-08-31,0.0978295037081457,89.1671079149891,110.14784376306903,-1.4986453815825547,-5.221300037893741,15.92815225785543
2015-09-30,0.5331456214120911,90.38076606504922,109.50563336937132,0.4353161177039454,1.2136581500601125,-0.6422103936977095
2015-10-31,-0.0728143825387516,89.87100759632406,103.81121267054012,-0.6059600039508427,-0.5097584687251526,-5.694420698831209
2015-11-30,-0.4866690537126642,87.62504504237751,98.92139941794188,-0.4138546711739126,-2.245962553946555,-4.8898132525982305
2015-12-31,-0.6529179673410094,85.86302258386607,102.26314545882552,-0.16624891362834515,-1.7620224585114386,3.341746040883635
2016-01-31,0.0159834193511374,79.88914170541305,121.92764134766249,0.6689013866921468,-5.973880878453016,19.664495888836967
2016-02-29,0.2302043766482214,77.59757787311031,139.364181066781,0.214220957297084,-2.2915638323027423,17.4365397191185
2016-03-31,-0.0506414096856474,81.08684874687417,123.90816229668636,-0.2808457863338688,3.489270873763857,-15.45601877009463
2016-04-30,0.0082442571624737,80.1945519923747,131.17059382015677,0.0588856668481211,-0.8922967544994691,7.262431523470411
2016-05-31,-0.1521977660817214,79.13532299024128,122.67990361987576,-0.1604420232441951,-1.0592290021334207,-8.490690200281009
2016-06-30,-0.1171744112109135,80.78739552136923,130.49629457965736,0.03502335487080789,1.6520725311279563,7.8163909597816
2016-07-31,-0.1696515218509836,80.70074137198795,128.54106054647022,-0.05247711064007009,-0.0866541493812889,-1.9552340331871392
2016-08-31,-0.1546012069526113,84.2897851224807,118.91792938958854,0.015050314898372302,3.589043750492749,-9.623131156881684
2016-09-30,-0.5335776539262089,86.46877013687875,116.71340746422617,-0.37897644697359767,2.1789850143980516,-2.2045219253623713
2016-10-31,-0.0500938217544085,85.33204453493384,116.81042161049308,0.4834838321718004,-1.136725601944903,0.09701414626691474
2016-11-30,-0.4729249529791007,83.93014448799343,104.97018492071174,-0.4228311312246922,-1.401900046940412,-11.840236689781335
2016-12-31,-0.4936807646156815,77.48041019983386,109.31477682721192,-0.0207558116365808,-6.449734288159576,4.34459190650017
2017-01-31,-0.844759591238379,80.46037862326756,109.01985048202272,-0.35107882662269746,2.9799684234337036,-0.2949263451891966
2017-02-28,-0.8870610743477191,80.60470332392303,108.04520219573304,-0.04230148310934012,0.1443247006554742,-0.9746482862896784
2017-03-31,-0.6042436544477194,81.11523070386224,106.77247121014844,0.28281741989999964,0.5105273799392052,-1.2727309855846016
