Date,FXI,MCHI,KWEB,GLD,SPY,TLT
2015-01-05,-0.0036053539454649103,-0.0013936530203913823,0.0030038650966309984,0.014964618775983719,-0.01822466386304544,0.015586596911485028
2015-01-06,-0.01235643894329489,-0.009609727251880437,0.005086097955074208,0.011334482171420189,-0.009463689523377242,0.017856511165246083
2015-01-07,0.02598810413723155,0.02522694372787558,0.009799495355246511,-0.005908836993974954,0.012384125975814888,-0.0019771389641310504
2015-01-08,0.008043659509258385,0.009954503013072357,0.01641329566152965,-0.0042173997009502945,0.0175896770042071,-0.01333093008229611
2015-01-09,-0.0037771516322703262,-0.0033070781658160893,-0.008759197044245957,0.011320872784881022,-0.0080459605797057,0.010892691145156513
2015-01-12,-0.009028361149427917,-0.009200286846923974,-0.024040350863181438,0.011025431201653892,-0.007864468010662313,0.005706392102415361
2015-01-13,0.01421842119796822,0.011341291255405152,-0.006630650103354312,-0.0033794717396937453,-0.0028165014390456357,0.0
2015-01-14,-0.010644907126898508,-0.010358727891316321,-0.005457863470206753,-0.0016093040146014643,-0.006055788742234264,0.007557088036025452
2015-01-15,0.009938643757549036,0.005876659108214451,-0.017791777659411964,0.02486420983066415,-0.009202444927619232,0.015613011750806509
2015-01-16,-0.005903590080583149,-0.004894783804367501,0.011386403742151722,0.01297967953352017,0.01302859762464785,-0.0128311280350202
2015-01-20,-0.010955181563246827,-0.007684150447168706,0.01488244778051933,0.013618890362551296,0.002130426326463717,0.013201627683135852
2015-01-21,0.031351572018425596,0.03153865727861511,0.01999769195619991,0.00024156831944978564,0.005035335013356037,-0.011626183547543644
2015-01-22,0.017712002733284073,0.016724235441945703,0.006773744961692284,0.008017360134577187,0.014761477508065654,-0.0036046580601158244
2015-01-23,-0.0025111436457513226,-0.003965776550056526,0.002638100298780258,-0.008017360134577146,-0.005497768502805575,0.013822105586221885
2015-01-26,-0.0004574467722251317,-0.001704559278654853,0.007669617790845328,-0.010031679362329654,0.0023389601180590857,-0.003046803155176218
2015-01-27,-0.01939537431637139,-0.016434369283987515,-0.0035796189187748983,0.011399158685807192,-0.013277905780332982,0.0015618121243709262
2015-01-28,-0.018353833899308315,-0.014556240212333028,-0.01291086716122308,-0.00790903451402992,-0.012907583430849601,0.01621606082993203
2015-01-29,0.00662730190371331,0.0070134579232423964,-0.013080030618904996,-0.02178803552843412,0.00920121969142318,-0.006601559600804856
2015-01-30,-0.027503657926318176,-0.02178471596853301,-0.016289650371726336,0.022031068542067805,-0.012654792817487883,0.017581644190969307
2015-02-02,0.01683133256831493,0.0137930401409568,0.006366388098874174,-0.008378450604819716,0.012307770477649652,-0.0037827886836310823
2015-02-03,0.020064619300933364,0.014184691925790843,0.016781988263822586,-0.011254031870982307,0.014357601199563457,-0.021393718383922854
2015-02-04,0.008377694702099866,0.007879468986810788,0.008875744519817649,0.004368788786280421,-0.0038148860795682777,0.0017074200566439838
2015-02-05,-0.003249567440215477,-0.0013407054797862188,-0.0038364564368279864,0.0017257602352123193,0.010044561066728647,-0.011039391051943374
