Date,EXPOSURE_RATIO
2015-01-02,100.0
2015-01-05,101.47272697689704
2015-01-06,101.17963778477778
2015-01-07,102.56547275497374
2015-01-08,101.59102724052008
2015-01-09,102.02562405323732
2015-01-12,101.9069455522413
2015-01-13,103.65784651254917
2015-01-14,103.18318188133983
2015-01-15,105.17726302436013
2015-01-16,103.20472704882646
2015-01-20,101.8630218830789
2015-01-21,104.57934056408045
2015-01-22,104.8882622659547
2015-01-23,105.20202310931295
2015-01-26,104.90822340106418
2015-01-27,104.26846063010808
2015-01-28,103.70214724039289
2015-01-29,103.43556940569265
2015-01-30,101.91100027221829
2015-02-02,102.37298050869322
2015-02-03,102.95893576654534
2015-02-04,104.22201251405122
2015-02-05,102.84561800486911
2015-02-06,100.804895355714
2015-02-09,101.0172186110661
2015-02-10,100.4051996617374
2015-02-11,100.29935998723471
2015-02-12,100.75945953294665
2015-02-13,100.9807422932814
2015-02-17,101.19750363562324
2015-02-18,101.09404374599269
2015-02-19,101.07242784119678
2015-02-20,101.0995141404158
2015-02-23,100.27372907274838
2015-02-24,101.22296567831785
2015-02-25,100.70360596686633
2015-02-26,102.05846656964475
2015-02-27,102.38388116736029
2015-03-02,101.9508248347334
2015-03-03,99.68617875216206
2015-03-04,98.51396563697314
2015-03-05,97.6569045441822
2015-03-06,98.0048229356128
2015-03-09,98.73576555767002
2015-03-10,98.0314975011297
2015-03-11,98.50261749980783
2015-03-12,98.24167419616109
2015-03-13,99.35075930824291
2015-03-16,99.81312069088052
2015-03-17,100.53728935984891
2015-03-18,101.07608645914598
2015-03-19,101.51572877363864
2015-03-20,101.07055733117163
2015-03-23,100.94078917355485
2015-03-24,101.04118742339492
2015-03-25,101.37531917332714
2015-03-26,101.52174195844026
2015-03-27,102.79234265185883
2015-03-30,105.41759840120339
2015-03-31,105.53883039022232
2015-04-01,107.82175346421114
2015-04-02,108.52859012508316
2015-04-06,109.1248912819125
2015-04-07,109.76953934728621
2015-04-08,116.12407542069478
2015-04-09,120.07553281482718
2015-04-10,118.65292116045663
2015-04-13,120.48269260306145
2015-04-14,119.4328498011083
2015-04-15,119.71547998685301
2015-04-16,121.82549299526795
2015-04-17,118.05207416533916
2015-04-20,117.87176371796366
2015-04-21,120.5640986396306
2015-04-22,122.04785722564209
2015-04-23,120.48674703762059
2015-04-24,120.37009194791533
2015-04-27,122.71183234079317
2015-04-28,122.32297896165738
2015-04-29,121.12726733074443
2015-04-30,120.82329615801883
2015-05-01,120.62191417788529
2015-05-04,121.23140731779729
2015-05-05,118.2198984916061
2015-05-06,116.30284857961466
2015-05-07,115.79365728200384
2015-05-08,117.11774083910865
2015-05-11,116.65427810140763
2015-05-12,116.3499765009993
2015-05-13,114.97274004546927
2015-05-14,114.82673870298201
2015-05-15,116.87355504041781
2015-05-18,114.78462223647577
2015-05-19,116.38865892892478
2015-05-20,115.3412184752046
2015-05-21,114.54663605780009
2015-05-22,118.27656167855444
2015-05-26,120.16758700903456
2015-05-27,118.92229315045786
2015-05-28,114.73774550026545
2015-05-29,113.3170349384623
2015-06-01,114.33917251948691
2015-06-02,114.47594816474202
2015-06-03,114.96072749506634
2015-06-04,115.21610314505952
2015-06-05,114.52490933942445
2015-06-08,116.29273160006875
2015-06-09,114.70874977561391
2015-06-10,112.27937102748973
2015-06-11,112.89242106012341
2015-06-12,114.72119564957781
2015-06-15,111.71864694039597
2015-06-16,109.66588758714254
2015-06-17,109.8150477844537
2015-06-18,108.89233270781646
2015-06-19,108.38188231246212
2015-06-22,109.23521517113757
2015-06-23,111.6911121033377
2015-06-24,112.7623883581498
2015-06-25,111.23521412006119
2015-06-26,108.09839793666562
2015-06-29,107.52265431118579
2015-06-30,109.92089379152164
2015-07-01,108.17158546381907
2015-07-02,108.46018332330073
2015-07-06,104.09220792586883
2015-07-07,99.00579963092996
2015-07-08,93.47179168452632
2015-07-09,97.97417433370839
2015-07-10,101.15601924982316
2015-07-13,100.40267831416605
2015-07-14,99.52634937951737
2015-07-15,97.2522148786908
2015-07-16,98.35075560315363
2015-07-17,98.96041663630186
2015-07-20,98.28584381288823
2015-07-21,99.09295729793762
2015-07-22,98.24936393121159
2015-07-23,98.78226432983851
2015-07-24,98.49617364036617
2015-07-27,95.25109040004523
2015-07-28,95.64282600064344
2015-07-29,96.1071664624857
2015-07-30,94.61760306056095
2015-07-31,94.38840795288283
2015-08-03,93.32746958980641
2015-08-04,94.1665969524502
2015-08-05,94.51151485899153
2015-08-06,94.4907513965316
2015-08-07,95.6638347139571
2015-08-10,96.5947109861663
2015-08-11,96.20407240980443
2015-08-12,93.99804086130617
2015-08-13,94.82083478532243
2015-08-14,94.75798090070529
2015-08-17,93.6255332643945
2015-08-18,91.93399683285003
2015-08-19,90.59320604822089
2015-08-20,90.23920089328149
2015-08-21,90.70770970204394
2015-08-24,88.66002793067736
2015-08-25,91.76014057183907
2015-08-26,90.33615757385033
2015-08-27,92.2936754435367
2015-08-28,89.55513034889955
2015-08-31,89.1671079149891
2015-09-01,87.73854897756097
2015-09-02,87.08378023660764
2015-09-03,87.52344499192331
2015-09-04,85.58092570036425
2015-09-08,89.375008089968
2015-09-09,90.68707649784817
2015-09-10,90.37165706346575
2015-09-11,90.6614074610764
2015-09-14,90.097589438932
2015-09-15,90.14769847859448
2015-09-16,92.04577454171871
2015-09-17,91.19644580739845
2015-09-18,90.6628597039004
2015-09-21,91.48925735818096
2015-09-22,91.08073388967226
2015-09-23,89.94026534233714
2015-09-24,89.55787078148586
2015-09-25,89.27724171309836
2015-09-28,89.91338998843077
