Date,DEFENSIVE_RATIO,DEFENSIVE_CHANGE_6M
2015-01-02,100.0,
2015-01-05,101.87429790190754,
2015-01-06,104.31661612225302,
2015-01-07,101.04174818650313,
2015-01-08,99.81044509288817,
2015-01-09,101.32883100502596,
2015-01-12,103.38133346697175,
2015-01-13,101.57796629376423,
2015-01-14,102.49994351962168,
2015-01-15,104.0412872993466,
2015-01-16,106.02460622089886,
2015-01-20,108.66234633524974,
2015-01-21,105.333847299451,
2015-01-22,104.31766722703162,
2015-01-23,103.74483827863162,
2015-01-26,102.75627743513036,
2015-01-27,105.96985946822835,
2015-01-28,107.08246877052802,
2015-01-29,104.08250866174811,
2015-01-30,109.36802152119331,
2015-02-02,106.64537916926766,
2015-02-03,103.35713767368443,
2015-02-04,102.94357048697836,
2015-02-05,103.45708453574215,
2015-02-06,103.10659348087357,
2015-02-09,103.81416296697856,
2015-02-10,102.73891532104066,
2015-02-11,101.57304142175118,
2015-02-12,100.37710288199679,
2015-02-13,100.29056872615519,
2015-02-17,98.25018917073828,
2015-02-18,98.62109073355954,
2015-02-19,98.37327487044776,
2015-02-20,97.20379467263137,
2015-02-23,98.14571930781764,
2015-02-24,96.80715184640472,
2015-02-25,97.76099785486382,
2015-02-26,96.88609635141437,
2015-02-27,96.98338621523425,
2015-03-02,96.38436848867823,
2015-03-03,98.8005288920163,
2015-03-04,100.08637357563303,
2015-03-05,100.75805639402833,
2015-03-06,99.05210132063758,
2015-03-09,98.00928804218304,
2015-03-10,99.8482600691355,
2015-03-11,99.00499893958093,
2015-03-12,97.99512691021904,
2015-03-13,97.63998596156888,
2015-03-16,95.84579678587053,
2015-03-17,94.92233986662934,
2015-03-18,95.12329128763047,
2015-03-19,95.07759047654372,
2015-03-20,95.73986131412,
2015-03-23,96.65904008360059,
2015-03-24,97.34652865232273,
2015-03-25,98.60613399251706,
2015-03-26,99.34420344012469,
2015-03-27,97.53603933485351,
2015-03-30,92.89094539728858,
2015-03-31,93.52822410713185,
2015-04-01,93.440970563999,
2015-04-02,92.24356693773494,
2015-04-06,92.24050975942787,
2015-04-07,91.4851159095906,
2015-04-08,85.71277086728443,
2015-04-09,81.95529437416023,
2015-04-10,83.42292885616051,
2015-04-13,81.93856621387435,
2015-04-14,81.99944162173342,
2015-04-15,82.14494331431716,
2015-04-16,80.46540514269142,
2015-04-17,84.42001318289194,
2015-04-20,83.14583179018288,
2015-04-21,81.85426203879871,
2015-04-22,79.38280050336459,
2015-04-23,80.79439444593292,
2015-04-24,79.55250630224096,
2015-04-27,79.94057590242093,
2015-04-28,80.63372230520626,
2015-04-29,81.18976391068426,
2015-04-30,80.76585048524365,
2015-05-01,79.75795275024207,
2015-05-04,79.84540416158988,
2015-05-05,83.06022166440079,
2015-05-06,84.73389924290362,
2015-05-07,84.07151937547698,
2015-05-08,82.43872665114405,
2015-05-11,82.84208557863,
2015-05-12,84.01974581909303,
2015-05-13,86.53204322455025,
2015-05-14,86.2114070277336,
2015-05-15,84.86259140740498,
2015-05-18,86.13203938237615,
2015-05-19,83.79432218471379,
2015-05-20,84.75357950904781,
2015-05-21,84.80778455293007,
2015-05-22,82.26592130889942,
2015-05-26,80.65480009523502,
2015-05-27,80.7188274548061,
2015-05-28,83.85280125382616,
2015-05-29,85.49485291743547,
2015-06-01,84.48427979943831,
2015-06-02,84.80799211266051,
2015-06-03,83.62380790316544,
2015-06-04,83.5568221531362,
2015-06-05,83.75761282468912,
2015-06-08,83.23881093818648,
2015-06-09,84.58778869423693,
2015-06-10,86.12050737154644,
2015-06-11,84.98745063792256,
2015-06-12,84.2554541004935,
2015-06-15,87.27599532759743,
2015-06-16,88.1087744768035,
2015-06-17,88.2579059826995,
2015-06-18,89.22707627279733,
2015-06-19,89.89088804767349,
2015-06-22,87.59328507885928,
2015-06-23,85.04168124707913,
2015-06-24,84.62451718444376,
2015-06-25,85.93332184099526,
2015-06-26,88.5382064209505,
2015-06-29,91.33085778115316,
2015-06-30,88.59964844313275,
2015-07-01,89.00653541528048,
2015-07-02,88.67650765489059,
2015-07-06,92.91004417958602,-7.0899558204139765
2015-07-07,95.9466921996896,-5.927605702217946
2015-07-08,103.66929509841725,-0.6473210238357723
2015-07-09,98.96656041506108,-2.075187771442046
2015-07-10,94.77215264868455,-5.03829244420362
2015-07-13,94.0173260493917,-7.311504955634263
2015-07-14,94.2227785709242,-9.158554896047548
2015-07-15,95.95290253180379,-5.6250637619604476
2015-07-16,93.78409302502152,-8.715850494600161
2015-07-17,92.18557107973308,-11.855716219613527
2015-07-20,90.25139699219955,-15.773209228699315
2015-07-21,89.59080906652073,-19.071537268729003
2015-07-22,90.03282135494428,-15.30102594450672
2015-07-23,89.65026786371645,-14.66739936331517
2015-07-24,91.74123782217661,-12.003600456455004
2015-07-27,94.97804413503937,-7.778233300090989
2015-07-28,93.58385294918749,-12.386006519040862
2015-07-29,92.62752658033264,-14.454942190195382
2015-07-30,93.25848578300064,-10.82402287874747
2015-07-31,94.2196915052136,-15.14833001597971
2015-08-03,94.85695140708032,-11.78842776218734
2015-08-04,94.38580360985915,-8.971334063825282
2015-08-05,93.39096454319639,-9.55260594378197
2015-08-06,94.5994885324111,-8.857596003331054
2015-08-07,93.85235824507284,-9.254235235800735
2015-08-10,92.7299463959072,-11.084216571071352
2015-08-11,94.43414927695531,-8.304766044085355
2015-08-12,97.88840268932987,-3.6846387324213197
2015-08-13,96.35738020460836,-4.01972267738843
2015-08-14,96.06239855136002,-4.228170174795167
2015-08-17,96.93750472773162,-1.3126844430066598
