Date,China_Tech_Flow_Index,China_Tech_Price,China_Large_Flow_Index,China_Large_Price,Gold_Flow_Index,Gold_Price,India_Flow_Index,India_Price
2015-02-02,0.001355726532905927,27.60770034790039,0.06395385214325588,32.087684631347656,0.07924811351709571,122.41999816894533,0.03493073372647846,28.86512565612793
2015-02-03,0.0011929208363184538,28.074920654296875,0.06733963017925486,32.738006591796875,0.08024721628208584,121.0500030517578,0.035764450395269,28.821090698242188
2015-02-04,0.001172578721666139,28.32521629333496,0.06968420335353083,33.013427734375,0.07869785380572045,121.58000183105467,0.03716951169301627,28.539215087890625
2015-02-05,0.0011505286576665044,28.21675682067871,0.06409943706007129,32.90632247924805,0.07616007808233959,121.79000091552734,0.038672063268114426,28.59206199645996
2015-02-06,0.0011476577793930486,27.883026123046875,0.06050076338372461,32.16419219970703,0.08049858186246767,118.63999938964844,0.03897760820452672,28.34542655944824
2015-02-09,0.001100712273725391,27.54095268249512,0.05812814308776691,32.087684631347656,0.07948326253035226,119.16999816894533,0.041374745628932875,27.931432723999023
2015-02-10,0.0010992427384776918,27.716161727905277,0.054083275945379886,32.23304748535156,0.07709776073870223,118.47000122070312,0.041356150796266075,28.15164375305176
2015-02-11,0.0009965521766291071,27.649417877197266,0.05433170627556051,32.217750549316406,0.07607933244672706,117.06999969482422,0.04389016875567788,28.257349014282227
2015-02-12,0.001044443642858621,27.490894317626957,0.04973967800791528,32.676795959472656,0.07396106503603998,117.33999633789062,0.042798938943251076,28.74180793762207
2015-02-13,0.0012483699458554552,27.816280364990234,0.04743025355237933,32.88336944580078,0.07169648871467206,117.9800033569336,0.04293680243046636,29.02367782592773
2015-02-17,0.0007042200381657133,28.133323669433597,0.04515230240344211,33.00578689575195,0.06479115546989801,116.01000213623048,0.028820935683308093,28.917978286743164
2015-02-18,0.0001622103430016567,28.158349990844727,0.03805397059915415,32.97518539428711,0.06055770058222466,116.33999633789062,0.0266604287232158,29.18223190307617
2015-02-19,0.00014388284252298428,27.97480010986328,0.03225076542137877,32.94458770751953,0.054710146092306115,115.94000244140624,0.02059076602016414,29.261499404907227
2015-02-20,0.0004456205519602736,28.01652336120605,0.02993347219954113,33.15114974975586,0.05149214442159397,115.27999877929688,0.015193032468421854,29.1910343170166
2015-02-23,0.0008520437920698661,27.849653244018555,0.026318676653111203,32.87572479248047,0.04745079672144496,115.43000030517578,0.004414061037228632,28.71537971496582
2015-02-24,0.0008176786089175356,27.774566650390625,0.027725347576744323,33.281219482421875,0.04797301423564385,115.26000213623048,0.0014846467802555644,28.98844146728516
2015-02-25,0.000990926246910404,27.37826156616211,0.028007841109947806,33.082298278808594,0.0466455187781176,115.6999969482422,0.0,29.05891227722168
2015-02-26,0.0009680831031267197,27.490894317626957,0.02597574613290118,33.48779296875,0.04279836919391693,116.06999969482422,8.03497128570259e-05,28.856319427490234
2015-02-27,0.0009691304052605174,27.057048797607425,0.023338186655133056,33.48013687133789,0.0423395953537218,116.16000366210938,0.005670626217751985,29.481719970703125
2015-03-02,0.0015085871828395803,26.965274810791016,0.023450715013484284,33.54899978637695,0.03955836560931629,115.68000030517578,0.012118818388451942,29.525754928588867
2015-03-03,0.0020850156299985195,26.70662879943848,0.017867016915098493,32.66914749145508,0.03292754686920912,115.47000122070312,0.018246355206218198,29.61384391784668
2015-03-04,0.0020980265729390896,26.965274810791016,0.016791688325441635,32.148887634277344,0.030065074944491874,115.11000061035156,0.022894494481296285,29.37601661682129
2015-03-05,0.002095288143627507,27.582672119140625,0.01288780814479118,31.90406036376953,0.028345692730538368,115.0,0.023804569734242113,29.367202758789062
2015-03-06,0.002581998701197097,27.57432746887207,0.010959138624103838,31.567420959472656,0.03151249822340695,111.86000061035156,0.024474124314847162,28.891551971435547
2015-03-09,0.002580503854974171,27.207225799560547,0.012683394980052614,31.934675216674805,0.03035450814977977,111.97000122070312,0.02377734354128873,28.62730026245117
2015-03-10,0.0025651607925505173,26.873497009277344,0.01969697592854619,31.19253158569336,0.02619115149730744,111.41999816894533,0.02512908559670298,28.27495765686035
2015-03-11,0.0026946202684888427,26.748350143432617,0.022609308015392314,31.269044876098636,0.02672881204215369,110.75,0.024903203069828364,28.45113182067871
2015-03-12,0.003137703061974837,26.48971176147461,0.028947665518657628,31.582725524902344,0.02805591413301835,110.72000122070312,0.027617986696421234,28.94440269470215
2015-03-13,0.00313990791416415,26.372907638549805,0.028122821583786612,31.743392944335938,0.026523131000187935,110.87999725341795,0.03109698836838673,28.13402938842773
2015-03-16,0.0032013985345431197,26.48136711120605,0.030510680039639866,32.31721496582031,0.025738209984012342,110.80999755859376,0.032335455500639126,28.38066291809082
2015-03-17,0.0029723049770537403,26.64823341369629,0.031531932034586665,32.45492172241211,0.028383911552073014,110.20999908447266,0.047238372317115813,28.829893112182617
2015-03-18,0.002969291914109753,26.99029922485352,0.0380569555974952,33.02109146118164,0.03135811803517715,112.37000274658205,0.05894358073257084,29.217458724975582
2015-03-19,0.003010073324827373,27.273969650268555,0.04169720280468307,33.013427734375,0.030107648204284045,112.29000091552734,0.06196063022254324,28.38947105407715
2015-03-20,0.0030159743904443767,27.7912540435791,0.04747454817599798,33.15879821777344,0.030932210781374363,113.56999969482422,0.07279701583590208,28.29258155822754
2015-03-23,0.002752077158197202,28.32521629333496,0.04621401273287108,33.05168914794922,0.02941672660653375,114.29000091552734,0.07582340170621776,28.31900405883789
2015-03-24,0.0023055307457667974,28.383621215820312,0.04458104910890493,32.898681640625,0.028280510988608558,114.56999969482422,0.08103616765019554,28.424707412719727
